data;
param: I: demand:=
1				126
2				127
3				124
4				113
5				100
6				95
7				90
8				86
9				121
10				169
11				161
12				164
13				170
14				173
15				147
16				152
17				125
18				136
19				106
20				102
21				123
22				113
23				117
24				112;
param: renewableEnergyProduction:=
1			68
2			70
3			73
4			74
5			78
6			81
7			88
8			89
9			91
10			102
11			156
12			166
13			174
14			173
15			167
16			147
17			135
18			118
19			110
20			110
21			111
22			118
23			125
24			122;
param: priceBuying:=
1	40
2	36
3	32
4	28
5	27
6	32
7	36
8	41
9	43
10	50
11	55
12	61
13	67
14	69
15	73
16	79
17	79
18	73
19	68
20	61
21	59
22	53
23	51
24	44;
param: priceSelling:=
1		28
2		25
3		23
4		20
5		19
6		23
7		25
8		29
9		30
10		35
11		39
12		43
13		47
14		48
15		51
16		55
17		55
18		51
19		48
20		43
21		41
22		37
23		36
24		31;

set PEV:= 
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 
;

param pevDisp
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 
C2
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 
C3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
C4
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
C5
0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
C6
1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 
C7
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
C8
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
C9
0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 
C10
1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 
;

param pevArrival
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
C2
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C3
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C4
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C5
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C6
1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
C7
