data;
param: I: demand:=
1	1230
2	1243
3	1196
4	1040
5	1006
6	942
7	866
8	891
9	1090
10	1386
11	1508
12	1625
13	1682
14	1637
15	1545
16	1451
17	1248
18	1374
19	1435
20	1482
21	1663
22	1370
23	1347
24	1169;
param: renewableEnergyProduction:=
1	811
2	838
3	875
4	888
5	937
6	972
7	1050
8	1073
9	1077
10	1153
11	1565
12	1657
13	1743
14	1760
15	1742
16	1580
17	1540
18	1406
19	1315
20	1324
21	1327
22	1410
23	1499
24	1460;
param: priceBuying:=
1	40
2	36
3	32
4	28
5	27
6	32
7	36
8	41
9	43
10	50
11	55
12	61
13	67
14	69
15	73
16	79
17	79
18	73
19	68
20	61
21	59
22	53
23	51
24	44;
param: priceSelling:=
1		28
2		25
3		23
4		20
5		19
6		23
7		25
8		29
9		30
10		35
11		39
12		43
13		47
14		48
15		51
16		55
17		55
18		51
19		48
20		43
21		41
22		37
23		36
24		31;


set PEV:= 
C1 C2 C3 
;

param pevDisp
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 
C2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 
C3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 
;

param pevArrival
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C2
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
C3
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
;

param pevEnergyOnArrival
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C2
36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 0 0 
C3
77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 
;

param pevDep
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
C2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
C3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
;

param pevEnergyWishDep
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
:=
C1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 
C2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 
C3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 
;

param: pevMinDoD:=

C1 2
C2 2
C3 2
;

param: pevPower:=

C1 30
C2 20
C3 70
;

set C:=
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
;
param pevDischargePrice
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
:=
C1
1 2 4 6 8 11 13 16 18 20 22 24 27 29 30 32 36 40 46 53 62 70 77 83 88 91 95 98 102 106 109 113 118 124 130 138 144 150 155 160 164 168 172 176 180 184 189 195 203 211 220 229 236 242 248 252 257 261 266 270 275 279 284 288 293 297 302 306 311 315 320 324 329 333 338 342 361 395 444 508 587 652 704 742 766 775 784 793 802 811 820 829 838 847 856 865 874 882 891 900 
C2
104 107 112 118 124 130 137 143 149 155 161 166 172 177 183 188 194 201 208 215 223 230 238 244 250 256 262 268 274 280 286 293 300 309 318 328 337 346 353 361 367 374 380 386 393 399 407 416 425 436 448 459 469 478 486 493 500 506 513 520 527 534 541 548 555 562 569 576 583 590 597 604 611 618 625 632 643 656 673 693 717 737 755 769 780 789 797 805 813 821 829 837 845 853 861 869 877 884 892 900 
C3
1 2 4 6 8 11 13 16 18 20 22 24 27 29 30 32 36 40 46 53 62 70 77 83 88 91 95 98 102 106 109 113 118 124 130 138 144 150 155 160 164 168 172 176 180 184 189 195 203 211 220 229 236 242 248 252 257 261 266 270 275 279 284 288 293 297 302 306 311 315 320 324 329 333 338 342 365 405 464 541 637 716 778 822 850 860 870 880 890 900 910 920 930 940 950 960 970 980 990 1000 
;
param pevDischargeRate
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
:=
C1
1 2 3 4 5 5 6 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 21 22 23 24 25 26 27 28 29 29 30 31 32 33 34 35 36 37 37 38 39 40 41 42 43 44 45 45 46 47 48 49 50 51 52 53 53 54 55 56 57 58 59 60 61 61 62 63 64 65 66 67 68 69 69 70 71 72 73 74 75 76 77 77 78 79 80 81 82 83 84 85 85 86 87 88 89 
C2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
C3
1 2 2 3 4 4 5 5 6 7 7 8 9 9 10 11 11 12 12 13 14 14 15 16 16 17 18 18 19 19 20 21 21 22 23 23 24 25 25 26 26 27 28 28 29 30 30 31 32 32 33 33 34 35 35 36 37 37 38 39 39 40 40 41 42 42 43 44 44 45 46 46 47 47 48 49 49 50 51 51 52 53 53 54 54 55 56 56 57 58 58 59 60 60 61 61 62 63 63 64 
;
param pevChargeRate
:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
:=
C1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
C2
